"ID","EMPLOYEE_NAME","PHONE","EMAIL","ADDRESS","REGION","COUNTRY","EMPLOYER_NAME","EMPLOYER_PHONE","EMPLOYER_EMAIL","EMPLOYER_ADDRESS","EMPLOYER_REGION","EMPLOYER_COUNTRY","EXPERIENCE","INCOME","STATE_TAX","LOCAL_TAX","MEDICAL_TAX","DEDUCTIONS","GROSS","FREQUENCY","SSN"
"1","Rashad Pearson","1-283-469-2671","fusce.aliquam@yahoo.in","Ap #238-4547 Etiam Rd.","Aquitaine","Chile","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","7","$26,574.67","1062.9868","797.2401","531.4934","179.0","24003.949699999997","Monthly","08-43-972"
"4","Adria Miles","1-168-231-5347","nec.cursus@aol.ca","Ap #732-9451 Adipiscing St.","Heredia","Brazil","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","1","$34,053.56","1362.1424","1021.6067999999999","681.0712","172.0","30816.739599999997","Quarterly","31-23-210"
"5","Allen Taylor","(488) 878-7611","rutrum.urna.nec@hotmail.couk","Ap #564-9205 Convallis Avenue","West Sumatra","Peru","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","7","$48,969.55","1958.7820000000002","1469.0865000000003","979.3910000000001","176.0","44386.2905","Monthly","25-55-146"
"11","Mannix Franks","(813) 212-3675","consequat.auctor@outlook.net","P.O. Box 157, 7645 Lorem St.","Toscana","Ukraine","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","1","$30,019.36","1200.7744","900.5808000000001","600.3872","116.0","27201.6176","Quarterly","94-08-389"
"13","Ross Carver","(257) 759-4781","enim.etiam@icloud.com","P.O. Box 553, 9911 Nonummy St.","North Gyeongsang","South Korea","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","1","$86,299.21","3451.9684","2588.9763000000003","1725.9842","148.0","78384.28110000001","Quarterly","60-84-828"
"14","Adria Harrington","(231) 697-3040","interdum.libero@yahoo.couk","6001 Lectus Rd.","Agder","Poland","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","0","$21,253.19","850.1275999999999","637.5957","425.06379999999996","198.0","19142.4029","Monthly","05-14-009"
"15","Brock Ward","(655) 743-5865","elit.pharetra.ut@aol.org","168-357 At, St.","Warmi?sko-mazurskie","Germany","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","7","$87,656.07","3506.2428000000004","2629.6821","1753.1214000000002","113.0","79654.0237","Quarterly","88-68-431"
"22","Illiana Simmons","(104) 648-6389","ut.erat@hotmail.org","3608 Placerat. St.","South Island","Indonesia","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","1","$65,114.46","2604.5784","1953.4338","1302.2892","156.0","59098.158599999995","BiWeekaly","46-96-910"
"26","Wendy Williamson","(244) 333-7548","tincidunt@hotmail.edu","P.O. Box 174, 5603 Netus Rd.","Lombardia","Mexico","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","1","$52,205.52","2088.2208","1566.1656","1044.1104","153.0","47354.023199999996","Monthly","66-58-859"
"32","Chava Alvarez","1-632-662-3481","velit.justo@outlook.com","Ap #956-9904 Nonummy St.","North West","China","ADP","1-153-790-8281","metus@adp.com","506-8871 Nec St.","Pará","Spain","4","$20,607.51","824.3004","618.2253","412.1502","194.0","18558.8341","Quarterly","72-44-672"
