"ID","EMPLOYEE_NAME","EMPLOYER_NAME","EXPERIENCE","INCOME","STATE_TAX","LOCAL_TAX","MEDICAL_TAX","DEDUCTIONS","GROSS"
"1","Rashad Pearson","ADP","7","$26,574.67","1062.9868","797.2401","531.4934","179.0","24003.949699999997"
"4","Adria Miles","ADP","1","$34,053.56","1362.1424","1021.6067999999999","681.0712","172.0","30816.739599999997"
"5","Allen Taylor","ADP","7","$48,969.55","1958.7820000000002","1469.0865000000003","979.3910000000001","176.0","44386.2905"
"11","Mannix Franks","ADP","1","$30,019.36","1200.7744","900.5808000000001","600.3872","116.0","27201.6176"
"13","Ross Carver","ADP","1","$86,299.21","3451.9684","2588.9763000000003","1725.9842","148.0","78384.28110000001"
"14","Adria Harrington","ADP","0","$21,253.19","850.1275999999999","637.5957","425.06379999999996","198.0","19142.4029"
"15","Brock Ward","ADP","7","$87,656.07","3506.2428000000004","2629.6821","1753.1214000000002","113.0","79654.0237"
"22","Illiana Simmons","ADP","1","$65,114.46","2604.5784","1953.4338","1302.2892","156.0","59098.158599999995"
"26","Wendy Williamson","ADP","1","$52,205.52","2088.2208","1566.1656","1044.1104","153.0","47354.023199999996"
"32","Chava Alvarez","ADP","4","$20,607.51","824.3004","618.2253","412.1502","194.0","18558.8341"
"34","Dorothy Jacobs","ADP","3","$34,177.22","1367.0888","1025.3166","683.5444","170.0","30931.2702"
"39","Marshall Livingston","ADP","5","$48,821.75","1952.87","1464.6525","976.435","187.0","44240.792499999996"
"41","Vladimir Sears","ADP","7","$49,967.66","1998.7064","1499.0298","999.3532","161.0","45309.57060000001"
"42","Inez Baldwin","ADP","5","$31,771.84","1270.8736","953.1552","635.4368","105.0","28807.3744"
"43","Raja Lawrence","ADP","4","$90,231.26","3609.2504","2706.9377999999997","1804.6252","199.0","81911.4466"
"46","Ray Parrish","ADP","6","$22,929.82","917.1928","687.8946","458.5964","149.0","20717.1362"
"47","Sylvester Williams","ADP","6","$69,978.88","2799.1552","2099.3664000000003","1399.5776","139.0","63541.78080000001"
"48","Katell Watson","ADP","8","$18,386.61","735.4644000000001","551.5983","367.73220000000003","167.0","16564.8151"
"51","Tana Mills","ADP","2","$96,167.73","3846.7092","2885.0319","1923.3546","171.0","87341.63429999999"
"54","Omar Cervantes","ADP","6","$22,506.53","900.2611999999999","675.1958999999999","450.13059999999996","116.0","20364.9423"
"55","Hyacinth Bright","ADP","5","$16,579.30","663.172","497.37899999999996","331.586","121.0","14966.162999999999"
"56","Chava Clark","ADP","9","$30,433.04","1217.3216","912.9911999999999","608.6608","183.0","27511.0664"
"58","Avram Hubbard","ADP","3","$44,522.40","1780.896","1335.672","890.448","145.0","40370.384000000005"
"60","Quinn Lamb","ADP","2","$17,451.07","698.0427999999999","523.5321","349.02139999999997","132.0","15748.473699999999"
"62","Adria Le","ADP","6","$21,497.63","859.9052","644.9289","429.9526","105.0","19457.8433"
"64","Adrian Langley","ADP","1","$44,568.15","1782.726","1337.0445000000002","891.363","157.0","40400.0165"
"66","Nero Barr","ADP","6","$64,909.77","2596.3907999999997","1947.2930999999999","1298.1953999999998","192.0","58875.890699999996"
"71","Oprah Vega","ADP","8","$76,068.01","3042.7203999999997","2282.0402999999997","1521.3601999999998","155.0","69066.8891"
"73","Dustin Leach","ADP","1","$12,468.47","498.73879999999997","374.05409999999995","249.36939999999998","155.0","11191.3077"
"74","Pandora Webb","ADP","5","$22,076.03","883.0412","662.2809","441.5206","198.0","19891.187299999998"
"80","Yuli Bailey","ADP","10","$52,180.44","2087.2176","1565.4132","1043.6088","118.0","47366.2004"
"85","Idola Sanford","ADP","7","$48,410.79","1936.4316000000001","1452.3237","968.2158000000001","131.0","43922.8189"
"91","Vivian Guthrie","ADP","1","$72,106.08","2884.2432","2163.1823999999997","1442.1216","187.0","65429.5328"
