"ID","EMPLOYEE_NAME","EMPLOYER_NAME","EXPERIENCE","INCOME","STATE_TAX","LOCAL_TAX","MEDICAL_TAX","DEDUCTIONS","GROSS"
"2","Wayne Shelton","Google","4","$97,164.04","3886.5615999999995","2914.9211999999998","1943.2807999999998","138.0","88281.27639999999"
"7","Anne Stevens","Google","3","$63,885.81","2555.4323999999997","1916.5743","1277.7161999999998","136.0","58000.0871"
"9","Lydia Koch","Google","0","$77,806.91","3112.2764","2334.2073","1556.1382","110.0","70694.2881"
"12","Chava Young","Google","2","$58,293.39","2331.7356","1748.8016999999998","1165.8678","183.0","52863.984899999996"
"17","Hiram Rodgers","Google","7","$69,638.35","2785.534","2089.1505","1392.767","121.0","63249.8985"
"18","Althea Beach","Google","5","$78,219.88","3128.7952","2346.5964000000004","1564.3976","162.0","71018.0908"
"19","Nicholas Calderon","Google","2","$27,448.71","1097.9484","823.4613","548.9742","102.0","24876.3261"
"20","Garth House","Google","1","$16,132.77","645.3108","483.9831","322.6554","113.0","14567.8207"
"24","Fay Townsend","Google","3","$21,772.32","870.8928","653.1696","435.4464","117.0","19695.8112"
"27","Plato Gomez","Google","2","$69,142.63","2765.7052000000003","2074.2789000000002","1382.8526000000002","172.0","62747.793300000005"
"30","Leigh Woodward","Google","3","$95,500.38","3820.0152000000003","2865.0114000000003","1910.0076000000001","175.0","86730.34580000001"
"36","Yasir Maxwell","Google","1","$90,719.13","3628.7652000000003","2721.5739000000003","1814.3826000000001","132.0","82422.40830000001"
"37","Carl Mclean","Google","4","$97,272.35","3890.8940000000002","2918.1705000000006","1945.4470000000001","170.0","88347.83850000001"
"38","Omar Willis","Google","3","$11,960.30","478.412","358.80899999999997","239.206","174.0","10709.873"
"44","Hanna Valentine","Google","8","$59,456.23","2378.2492","1783.6869","1189.1246","196.0","53909.1693"
"49","Ayanna Flowers","Google","5","$98,287.72","3931.5088","2948.6316","1965.7544","154.0","89287.8252"
"50","Wang Russo","Google","8","$37,103.88","1484.1552","1113.1163999999999","742.0776","175.0","33589.5308"
"52","Uriel Fitzpatrick","Google","1","$98,823.96","3952.9584000000004","2964.7188","1976.4792000000002","114.0","89815.80360000001"
"53","Jarrod Moss","Google","6","$23,156.86","926.2744","694.7058000000001","463.1372","106.0","20966.7426"
"59","Chantale Peters","Google","6","$22,020.70","880.828","660.6210000000001","440.414","103.0","19935.837"
"61","Heather Kent","Google","5","$77,354.81","3094.1924","2320.6443","1547.0962","188.0","70204.8771"
"63","Quinn Vega","Google","7","$17,857.79","714.3116","535.7337","357.1558","149.0","16101.5889"
"65","Angela Rosales","Google","2","$57,820.61","2312.8244","1734.6183","1156.4122","192.0","52424.7551"
"68","Ulysses William","Google","1","$13,032.58","521.3032","390.9774","260.6516","128.0","11731.6478"
"69","Vance Griffith","Google","2","$39,973.52","1598.9407999999999","1199.2056","799.4703999999999","123.0","36252.9032"
"72","Beck Roth","Google","7","$14,417.58","576.7032","432.5274","288.3516","112.0","13007.9978"
"75","Oliver Hensley","Google","5","$45,809.57","1832.3828","1374.2871","916.1914","166.0","41520.7087"
"76","Marvin Hickman","Google","9","$28,303.52","1132.1408000000001","849.1056","566.0704000000001","163.0","25593.2032"
"81","Kelly Schwartz","Google","4","$36,140.80","1445.632","1084.2240000000002","722.816","180.0","32708.128000000004"
"86","Oliver Robinson","Google","1","$88,397.97","3535.9188","2651.9391000000005","1767.9594","194.0","80248.1527"
"88","Clare Beard","Google","3","$72,063.75","2882.55","2161.9125","1441.275","132.0","65446.0125"
"89","Calvin Banks","Google","3","$52,445.32","2097.8128","1573.3596","1048.9064","126.0","47599.2412"
"92","Akeem Jimenez","Google","1","$84,476.76","3379.0703999999996","2534.3027999999995","1689.5351999999998","160.0","76713.8516"
"93","Venus Maxwell","Google","6","$61,807.50","2472.3","1854.225","1236.15","197.0","56047.825"
"94","Quail Valenzuela","Google","0","$23,732.60","949.304","711.9779999999998","474.652","154.0","21442.665999999997"
"96","Barry Griffith","Google","6","$80,601.76","3224.0703999999996","2418.0527999999995","1612.0351999999998","140.0","73207.6016"
"98","Dolan Dickson","Google","4","$26,991.72","1079.6688000000001","809.7516","539.8344000000001","124.0","24438.465200000002"
"99","Ivory Kent","Google","5","$71,529.75","2861.19","2145.8925","1430.595","126.0","64966.0725"
"100","Guinevere Mays","Google","4","$90,951.28","3638.0512","2728.5383999999995","1819.0256","176.0","82589.6648"
