"ID","EMPLOYEE_NAME","EMPLOYER_NAME","EXPERIENCE","INCOME","STATE_TAX","LOCAL_TAX","MEDICAL_TAX","DEDUCTIONS","GROSS"
"3","Kirby Jacobs","Microsoft","1","$60,987.27","2439.4908","1829.6181","1219.7454","140.0","55358.4157"
"6","Ezra Bailey","Microsoft","6","$29,432.62","1177.3048","882.9786","588.6524","143.0","26640.6842"
"8","Maisie Richmond","Microsoft","3","$54,813.78","2192.5512","1644.4134","1096.2756","125.0","49755.5398"
"10","Driscoll Puckett","Microsoft","6","$78,079.98","3123.1992","2342.3994000000002","1561.5996","132.0","70920.7818"
"16","Hope Kerr","Microsoft","3","$83,028.54","3321.1416","2490.8562","1660.5708","136.0","75419.9714"
"21","Reed Terry","Microsoft","2","$70,995.06","2839.8024","2129.8518","1419.9012","141.0","64464.5046"
"23","Noel Mcbride","Microsoft","8","$66,358.36","2654.3344","1990.7508000000003","1327.1672","118.0","60268.1076"
"25","Hedley Cherry","Microsoft","2","$30,175.32","1207.0128","905.2595999999999","603.5064","112.0","27347.5412"
"28","Kirsten Lang","Microsoft","8","$20,865.49","834.6196000000001","625.9647","417.30980000000005","175.0","18812.5959"
"29","Hedda Murray","Microsoft","9","$27,121.45","1084.858","813.6435","542.429","127.0","24553.519500000002"
"31","Halla Barry","Microsoft","2","$73,240.72","2929.6288","2197.2216","1464.8144","102.0","66547.0552"
"33","Ivan Gregory","Microsoft","7","$24,922.46","996.8983999999999","747.6738","498.44919999999996","195.0","22484.438599999998"
"35","Oliver Oneal","Microsoft","3","$81,153.56","3246.1423999999997","2434.6068","1623.0711999999999","133.0","73716.7396"
"40","Lyle Henson","Microsoft","5","$71,120.80","2844.8320000000003","2133.6240000000003","1422.4160000000002","111.0","64608.928"
"45","Cameron Gardner","Microsoft","4","$50,744.98","2029.7992000000002","1522.3494","1014.8996000000001","138.0","46039.931800000006"
"57","Gisela Knapp","Microsoft","6","$44,374.36","1774.9744","1331.2308000000003","887.4872","166.0","40214.6676"
"67","Ainsley Morrow","Microsoft","6","$18,244.67","729.7868","547.3400999999999","364.8934","117.0","16485.649699999998"
"70","Zenia Velasquez","Microsoft","1","$26,136.74","1045.4696000000001","784.1022","522.7348000000001","147.0","23637.4334"
"77","Angelica Stephenson","Microsoft","5","$87,200.90","3488.0359999999996","2616.027","1744.0179999999998","143.0","79209.81899999999"
"78","Leslie Mathis","Microsoft","9","$72,879.96","2915.1984","2186.3988","1457.5992","141.0","66179.7636"
"79","Leo Everett","Microsoft","1","$39,914.21","1596.5683999999999","1197.4263","798.2841999999999","177.0","36144.9311"
"82","Sheila Little","Microsoft","6","$87,398.03","3495.9211999999998","2621.9408999999996","1747.9605999999999","108.0","79424.2073"
"83","Cara Mcconnell","Microsoft","9","$70,905.85","2836.2340000000004","2127.1755000000003","1418.1170000000002","165.0","64359.323500000006"
"84","Irma Matthews","Microsoft","8","$51,491.92","2059.6767999999997","1544.7576000000001","1029.8383999999999","133.0","46724.6472"
"87","Farrah Pennington","Microsoft","7","$69,235.40","2769.4159999999997","2077.062","1384.7079999999999","106.0","62898.21399999999"
"90","Trevor Leonard","Microsoft","8","$90,445.92","3617.8368","2713.3776000000003","1808.9184","194.0","82111.78719999999"
"95","Raven Cleveland","Microsoft","4","$18,446.63","737.8652000000001","553.3989","368.93260000000004","179.0","16607.4333"
"97","Nehru Vargas","Microsoft","10","$59,543.83","2381.7532","1786.3148999999999","1190.8766","194.0","53990.8853"
